"","T_tphe_5.0m Ave. (C)","T_tphe_3.75m Ave. (C)","T_tphe_2.5m Ave. (C)","T_iv_gas Ave. (C)","T_tw Ave. (C)","T_exhaust Ave. (C)"
"1679301614","20.261","20.307","20.227","20.373","20.429","21.163"
"1679301624","20.267","20.312","20.231","20.374","20.430","21.156"
"1679301634","20.268","20.313","20.229","20.372","20.430","21.154"
"1679301644","20.272","20.319","20.232","20.375","20.436","21.163"
"1679301654","20.269","20.315","20.226","20.369","20.431","21.171"
"1679301664","20.276","20.321","20.230","20.374","20.436","21.175"
"1679301674","20.277","20.320","20.229","20.372","20.435","21.171"
"1679301684","20.273","20.316","20.223","20.364","20.432","21.178"
"1679301694","20.280","20.321","20.226","20.367","20.436","21.193"
"1679301704","20.277","20.320","20.223","20.366","20.435","21.205"
"1679301714","20.276","20.314","20.215","20.356","20.430","21.228"
"1679301724","20.281","20.321","20.222","20.362","20.436","21.245"
"1679301734","20.291","20.329","20.229","20.369","20.445","21.251"
"1679301744","20.281","20.318","20.217","20.357","20.436","21.243"
"1679301754","20.290","20.324","20.221","20.358","20.438","21.250"
"1679301764","20.295","20.329","20.222","20.363","20.445","21.259"
"1679301774","20.298","20.331","20.228","20.366","20.449","21.255"
"1679301784","20.295","20.329","20.219","20.359","20.442","21.245"
"1679301794","20.295","20.325","20.214","20.353","20.441","21.240"
"1679301804","20.305","20.335","20.224","20.364","20.452","21.247"
"1679301814","20.313","20.341","20.232","20.365","20.457","21.256"
"1679301824","20.318","20.345","20.233","20.366","20.457","21.260"
"1679301834","20.310","20.334","20.222","20.355","20.445","21.257"
"1679301844","20.310","20.335","20.222","20.353","20.447","21.258"
"1679301854","20.313","20.337","20.221","20.349","20.445","21.258"
"1679301864","20.310","20.334","20.218","20.346","20.443","21.270"
"1679301874","20.313","20.339","20.220","20.350","20.443","21.283"
"1679301884","20.317","20.341","20.226","20.355","20.455","21.292"
"1679301894","20.319","20.343","20.222","20.352","20.450","21.300"
"1679301904","20.311","20.335","20.210","20.342","20.440","21.302"
"1679301914","20.316","20.341","20.216","20.345","20.448","21.314"
"1679301924","20.312","20.336","20.214","20.344","20.445","21.301"
"1679301934","20.315","20.341","20.217","20.345","20.446","21.305"
"1679301944","20.323","20.347","20.223","20.350","20.453","21.320"
"1679301954","20.319","20.343","20.215","20.345","20.449","21.322"
"1679301964","20.320","20.345","20.216","20.344","20.450","21.312"
"1679301974","20.320","20.345","20.218","20.347","20.451","21.322"
"1679301984","20.321","20.344","20.218","20.346","20.448","21.328"
"1679301994","20.316","20.338","20.211","20.335","20.441","21.348"
"1679302004","20.319","20.341","20.211","20.338","20.445","21.349"
"1679302014","20.323","20.343","20.212","20.339","20.447","21.362"
"1679302024","20.325","20.348","20.216","20.342","20.452","21.375"
"1679302034","20.331","20.353","20.220","20.344","20.457","21.395"
"1679302044","20.337","20.360","20.226","20.353","20.457","21.415"
"1679302054","20.340","20.359","20.227","20.351","20.461","21.421"
"1679302064","20.331","20.354","20.220","20.348","21.163","21.417"
"1679302074","20.331","20.354","20.222","20.382","26.520","21.398"
"1679302084","20.334","20.353","20.219","20.462","35.568","21.383"
"1679302094","20.339","20.360","20.224","20.606","46.440","21.399"
"1679302104","20.343","20.359","20.224","20.796","57.089","21.401"
"1679302114","20.350","20.362","20.226","21.009","67.792","21.420"
"1679302124","20.353","20.363","20.226","21.274","77.740","21.430"
"1679302134","20.360","20.360","20.223","21.640","87.831","21.430"
"1679302144","20.366","20.358","20.218","22.114","97.905","21.438"
"1679302154","20.380","20.361","20.219","22.637","107.617","21.457"
"1679302164","20.394","20.366","20.222","23.226","117.649","21.464"
"1679302174","20.416","20.368","20.223","23.844","127.327","21.491"
"1679302184","20.435","20.368","20.222","24.541","137.291","21.498"
